"","Label","Synonyms","MeSH Frequency"
"22890","Venalot","2H-1-benzopyran-2-one mixt. with 2-(3,4-bis(2- hydroxyethoxy)phenyl)-3-((6-O-(6-deoxy-alpha-L- mannopyranosyl)-beta-D-glucopyranosyl)oxy)-5- hydroxy-7-(2-hydroxyethoxy)-4H-1-benzopyran-4-one",25
"22891","hydroxystyrene-styrene",NA,4
"22892","Prodigy Condensable",NA,17
"22893","Vulvar Lichen Sclerosus","Kraurosis Vulvae|Vulvae, Kraurosis|Vulva Lichen Sclerosus|Sclerosus, Vulvar Lichen|Lichen Sclerosus of Vulva|Lichen Sclerosus, Vulvar",NA
"22894","Exonucleases","3' 5' Exonucleases|5'-3'-Exonucleases|3'-5'-Exonucleases|5' 3' Exonucleases|3'-5'-Exonuclease|3' 5' Exonuclease|5'-3'-Exonuclease|5' 3' Exonuclease",NA
"22895","Tiapride Hydrochloride","FLO 1347|Tiapride|Equilium|Tiapride Monohydrochloride|Monohydrochloride, Tiapride|FLO1347|Tiapridex|Tiapridal|Tiaprizal|FLO-1347|Hydrochloride, Tiapride|N,N-Diethyl-2-((2-methoxy-5-(methylsulfonyl)benzoyl)amino)ethanaminium chloride",NA
"22896","Keratosis, Actinic","Actinic Keratosis|Keratoses, Actinic|Actinic Keratoses",NA
"22897","Heparinoids","Atheroid|Heparinoid|Ateroid",NA
"22898","anginex peptide",NA,9
"22899","aldophosphamide","cyclophosphamide-mustard|Cyp-mustard",36
"22900","Idiopathic Pulmonary Fibrosis","Interstitial Pneumonitides, Usual|Dysplasia, Fibrocystic Pulmonary|Idiopathic Pulmonary Fibroses|Pulmonary Fibrosis, Idiopathic|Hamman Rich Disease|Diseases, Hamman-Rich|Idiopathic Fibrosing Alveolitis, Chronic Form|Fibrocystic Pulmonary Dysplasia|Fibrosing Alveolitis, Cryptogenic|Pneumonitides, Usual Interstitial|Cryptogenic Fibrosing Alveolitis|Interstitial Pneumonia, Usual|Fibrocystic Pulmonary Dysplasias|Interstitial Pneumonias, Usual|Usual Interstitial Pneumonia|Pulmonary Fibroses, Idiopathic|Pulmonary Dysplasias, Fibrocystic|Cryptogenic Fibrosing Alveolitides|Hamman-Rich Diseases|Dysplasias, Fibrocystic Pulmonary|Familial Idiopathic Pulmonary Fibrosis|Fibrosing Alveolitides, Cryptogenic|Usual Interstitial Pneumonitis|Idiopathic Pulmonary Fibrosis, Familial|Hamman-Rich Disease|Usual Interstitial Pneumonias|Interstitial Pneumonitis, Usual|Disease, Hamman-Rich|Usual Interstitial Pneumonitides|Pulmonary Dysplasia, Fibrocystic|Pneumonitis, Usual Interstitial",NA
"22901","clidinium","clidinium iodide|N-methyl quinuclidinyl benzilate|clidinium, 3H-labeled|clidinium, 11C-labeled|clidinium iodide, 3H-labeled|clidinium, 1-(methyl-11C)-labeled|clidinium iodide, 11C-labeled|clidinium bromide|clidinium iodide, (+-)-isomer",42
"22902","Vinblastine","Velbe|Vinblastin Hexal|Gastrozepin Brand of Vinblastine Sulfate|Gry Brand of Vinblastine Sulfate|Lemery Brand of Vinblastine Sulfate|Sulfate, Vinblastine|Faulding Brand of Vinblastine Sulfate|EG Labo Brand of Vinblastine Sulfate|cell pharm Brand of Vinblastine Sulfate|Velban|Lemblastine|Vincaleukoblastine|Hexal Brand of Vinblastine Sulfate|Lilly Brand of Vinblastine Sulfate|Vinblastinsulfat-Gry|Vinblastine Sulfate|cellblastin|Vinblastina Lilly",NA
"22903","Isoelectric Point","Point, Isoelectric|Isoelectric Points|Points, Isoelectric",NA
"22904","Root Planing","Planing, Root|Root Planings|Planings, Root",NA
"22905","apovitellenin","apovitellenin I",9
"22906","dithiocarbamate-Fe(II)","DTC-Fe(II)",18
"22907","fluorotelomer acrylate",NA,11
"22908","acetophenazine","acetophenazine maleate|acetophenazine, ion (1+)|acetophenazine, (Z)-2-maleate (1:2) salt",19
"22909","bisindolylmaleimide IX","Bis IX",9
"22910","styrofoam","polystyrene latex|Biosilon|styrofoam, potassium salt|ethenylbenzene, homopolymer|styrofoam, ethenyl-2,2-di-(2)H-labeled|styrofoam, ethenyl-2-(3)H-labeled|styrene copolymer|styrofoam, 3H-labeled",178
"22911","pyrazole","1,2-diazole",869
"22912","Mink Viral Enteritis","Enteritis, Mink Viral|Enteritis, Infectious, of Mink|Mink Viral Enteritides|Viral Enteritides, Mink|Viral Enteritis, Mink|Enteritides, Mink Viral",NA
"22913","Meningioma","Meningiomas, Xanthomatous|Angioblastic Meningiomas|Meningotheliomatous Meningiomas|Posterior Fossa Meningiomas|Fibrous Meningiomas|Meningiomas, Malignant|Meningioma, Hemangiopericytic|Intraorbital Meningiomas|Meningiomas, Hemangiopericytic|Meningiomas, Posterior Fossa|Wing Meningiomas, Sphenoid|Angiomatous Meningiomas|Parasagittal Meningioma|Meningioma, Angioblastic|Convexity Meningioma, Cerebral|Meningioma, Sphenoid Wing|Meningiomas, Fibrous|Meningiomas, Multiple|Meningioma, Psammomatous|Angioblastic Meningioma|Meningiomas, Benign|Meningiomas, Parasagittal|Hemangioblastic Meningiomas|Meningioma, Transitional|Meningioma, Clear Cell|Meningiomas, Angioblastic|Cerebral Convexity Meningioma|Meningiomas, Intraventricular|Meningiomas, Intracranial|Meningioma, Microcystic|Multiple Meningioma|Meningiomas, Papillary|Benign Meningioma|Meningiomas, Transitional|Sphenoid Wing Meningioma|Meningioma, Spinal|Meningioma, Angiomatous|Meningiomas, Microcystic|Spinal Meningioma|Meningiomas, Sphenoid Wing|Intraventricular Meningiomas|Fibrous Meningioma|Meningiomas, Olfactory Groove|Olfactory Groove Meningiomas|Transitional Meningioma|Meningioma, Parasagittal|Meningiomas, Psammomatous|Papillary Meningioma|Parasagittal Meningiomas|Meningioma, Multiple|Meningioma, Papillary|Meningiomas, Spinal|Meningotheliomatous Meningioma|Posterior Fossa Meningioma|Meningioma, Fibrous|Transitional Meningiomas|Psammomatous Meningiomas|Hemangiopericytic Meningiomas|Hemangiopericytic Meningioma|Meningioma, Intraorbital|Multiple Meningiomas|Convexity Meningiomas, Cerebral|Meningiomas, Meningotheliomatous|Psammomatous Meningioma|Meningioma, Olfactory Groove|Meningioma, Secretory|Xanthomatous Meningiomas|Meningiomas, Angiomatous|Meningiomas|Meningiomatoses|Wing Meningioma, Sphenoid|Papillary Meningiomas|Meningiomas, Secretory|Clear Cell Meningioma|Intraventricular Meningioma|Meningioma, Intraventricular|Meningioma, Intracranial|Secretory Meningiomas|Intracranial Meningiomas|Groove Meningiomas, Olfactory|Meningioma, Hemangioblastic|Meningioma, Benign|Meningioma, Posterior Fossa|Secretory Meningioma|Intraorbital Meningioma|Meningiomatosis|Meningioma, Xanthomatous|Malignant Meningiomas|Meningioma, Cerebral Convexity|Meningiomas, Clear Cell|Malignant Meningioma|Microcystic Meningioma|Intracranial Meningioma|Cerebral Convexity Meningiomas|Clear Cell Meningiomas|Xanthomatous Meningioma|Olfactory Groove Meningioma|Sphenoid Wing Meningiomas|Meningiomas, Cerebral Convexity|Meningiomas, Intraorbital|Meningiomas, Hemangioblastic|Meningioma, Meningotheliomatous|Hemangioblastic Meningioma|Angiomatous Meningioma|Meningioma, Malignant|Spinal Meningiomas|Benign Meningiomas|Microcystic Meningiomas",NA
"22914","Prevasore",NA,10
"22915","ferric ferricyanide","iron(3+) ferricyanide",17
"22916","Receptors, Steroid","Steroid Receptor|Receptor, Corticosteroid|Receptors, Corticosteroid|Receptors, Steroids|Corticosteroid Receptor|Steroid Receptors|Steroids Receptors|Corticosteroid Receptors|Receptor, Steroid",NA
"22917","copal rosin varnish","copal ether varnish",13
"22918","Collateral Circulation","Circulation, Collateral Blood|Collateral Circulation, Blood|Blood Circulation, Collateral|Collateral Circulations, Blood|Circulation, Collateral|Collateral Blood Circulations|Collateral Blood Circulation|Blood Collateral Circulation|Circulation, Blood Collateral|Collateral Circulations",NA
"22919","Desmosomal Cadherins","Cadherins, Desmosomal",NA
"22920","Insect Hormones","Hormones, Insect",NA
"22921","stypoldione",NA,7
"22922","Acanthamoeba","Acanthamoebas",NA
"22923","oxalomalic acid","oxalomalate",19
"22924","dihydromonacolin L",NA,5
"22925","Behavior Rating Scale","Tests, Behavior|Test, Behavior|Behavioral Test|Behavior Rating Scales|Behavior Test|Scale, Behavioral Rating|Behavioral Rating Scale|Tests, Behavioral|Test, Behavioral|Rating Scales, Behavior|Behavioral Tests|Behavioral Rating Scales|Rating Scale, Behavioral|Rating Scales, Behavioral|Rating Scale, Behavior|Behavior Tests",NA
"22926","proticine","Proticin|proticin",15
"22927","Lymphangiomyoma","Lymphangioleiomyoma|Lymphangioleiomyomas|Lymphangiomyomas",NA
"22928","senicapoc","ICA17043|ICA-17043|ICA 17043|bis(4-fluorophenyl)phenylacetamide",18
"22929","Nose","External Nose|External Noses|Noses|Noses, External|Nose, External",NA
"22930","tyvelose","3,6-dideoxy-D-arabino-hexose|ascarylose|tyvelose, (L)-isomer|dideoxyhexose",60
"22931","Teaching Rounds","Morning Reports|Rounds, Grand|Report, Morning|Round, Morning|Morning Rounds|Attending Rounds|Rounds, Attending|Morning Round|Rounds, Morning|Reports, Morning|Grand Rounds|Morning Report|Rounds, Teaching",NA
"22932","Funeral Sermons",NA,NA
"22933","sudan red","Sudan II",72
"22934","akuammicine",NA,4
"22935","Single-Chain Antibodies","Fv Antibody Fragments, Single-Chain|ScFv Antibodies|Variable Fragments, Single-Chain|Single Chain Antibodies|Fv Antibody Fragments, Single Chain|Single-Chain Fv Antibody|Single-Chain Fv|Fv Antibody, Single-Chain|Antibodies, ScFv|Fv, Single-Chain|Variable Fragment, Single-Chain|Single Chain Fv|Fragments, Single-Chain Variable|Single Chain Variable Fragments|Single Chain Fv Antibody Fragments|Single-Chain Variable Fragment Antibody|Single-Chain Variable Fragments|Fragment, Single-Chain Variable|Single-Chain Variable Fragment Antibodies|Single Chain Fv Antibody|Antibody, Single-Chain Fv|Single Chain Variable Fragment Antibody|Single Chain Variable Fragment|Single-Chain Fv Antibody Fragments|Single-Chain Variable Fragment|Single Chain Variable Fragment Antibodies|Antibodies, Single-Chain",NA
"22936","Massachusetts",NA,NA
"22937","xanthoxin","cis,trans-xanthoxin|xanthoxin, (1R-(1alpha(2E,4E),4beta,6alpha))-isomer|xanthoxin, (1S-(1alpha(2E,4E),4alpha,6alpha))-isomer|trans,trans-5-(1',2'-epoxy-4'-hydroxy-2',6',6'- trimethyl-1'-cyclohexyl)-3-methylpentadienal|trans,trans-xanthoxin|xanthoxin, (1S-(1alpha(2Z,4E),4alpha,6alpha))-isomer",14
"22938","Armadillos","Armadillo",NA
"22939","cesium carbonate",NA,30
"22940","Tissue Therapy, Historical","Stimulators, Biogenic|Historical Tissue Therapy|Historical Cell Therapy|Therapy, Historical Cell|Biogenic Stimulator|Stimulator, Biogenic|Biogenic Stimulators|Cell Therapy, Historical|Therapy, Historical Tissue",NA
"22941","diketene","4-methylene-2-oxetanone",22
"22942","Monieziasis","Monieziases",NA
"22943","Methylmethacrylate","Kallocryl A|Zimmer Bone Cement|Sintices|Monomers, Methacrylate Methyl|Metaplex|Methylmethacrylate Methyl Monomer|Sintex|Cement, Zimmer Bone|Methyl Monomer, Methylmethacrylate|Methyl Monomers, Methylmethacrylate|2-Propenoic acid, 2-methyl- methyl ester|Kallocryls|Kallocryl|Methylmethacrylate Methyl Monomers|Zimmer Bone Cements|Monomer, Methylmethacrylate Methyl|Methacrylate Methyl Monomer|Cements, Zimmer Bone|Methyl Monomers, Methacrylate|Cranioplast|Monomer, Methacrylate Methyl|Bone Cements, Zimmer|Methyl Monomer, Methacrylate|Cranioplasts|Simplex P|Methacrylate Methyl Monomers|Bone Cement, Zimmer|Metaplices|Monomers, Methylmethacrylate Methyl",NA
"22944","Electrical Synapses","Junctions, Neuronal Gap|Synapses, Electrotonic|Neuronal Gap Junctions|Electrotonic Synapse|Synapse, Electrical|Electrical Synapse|Synapse, Electrotonic|Gap Junction, Neuronal|Neuronal Gap Junction|Electrotonic Synapses|Gap Junctions, Neuronal|Junction, Neuronal Gap|Synapses, Electrical",NA
"22945","Ligusticum","Alpine Lovage|Alpine Lovages|Lovage, Alpine|Ligusticums|Lovages, Alpine",NA
"22946","Esophagectomy","Esophagectomies",NA
"22947","Fluorophotometry","Fluorophotometry, Ocular|Fluorophotometry, Vitreous|Ocular Fluorophotometry|Vitreous Fluorophotometry",NA
"22948","Plastics","Plastic",NA
"22949","Respirovirus","Respiroviruses",NA
"22950","pilsicainide","SUN 1165|N-(2,6-dimethylphenyl)-8-pyrrolizidineacetamide hydrochloride|SUN-1165",181
"22951","Sodium Dodecyl Sulfate","Dodecyl Sulfate, Sodium|Lauryl Sulfate, Sodium|Sulfate, Sodium Dodecyl|Sodium Lauryl Sulfate|Sulfuric acid monododecyl ester sodium salt|Irium|Sulfate, Sodium Lauryl",NA
"22952","Protein-Losing Enteropathies","Enteropathies, Exudative|Enteropathy, Protein-Losing|Hypoproteinemias, Idiopathic Hypercatabolic|Protein-Losing Enteropathy|Hypercatabolic Hypoproteinemias, Idiopathic|Protein Losing Enteropathy|Hypercatabolic Hypoproteinemia, Idiopathic|Exudative Enteropathy|Protein Losing Enteropathies|Hypoproteinemia, Idiopathic Hypercatabolic|Enteropathy, Exudative|Enteropathies, Protein-Losing|Idiopathic Hypercatabolic Hypoproteinemias|Exudative Enteropathies|Idiopathic Hypercatabolic Hypoproteinemia",NA
"22953","psi-baptigenin","pseudobaptigenin",6
"22954","Thermoanaerobacter",NA,NA
"22955","Polydactyly","Polydactylies|Polydactylia|Polydactylias|Hyperdactylies|Polydactylism|Polydactylisms|Hyperdactyly",NA
"22956","di-n-octyltin dichloride","dioctyltin dichloride|dichlorodioctylstannane",21
"22957","Consultants","Services, Advisory|Consultant|Service, Advisory|Advisory Services|Advisory Service",NA
"22958","arsenic disulfide","realgar|arsenic sulfide (AS1S2)",110
"22959","cianopramine","5H-Dibenz(b,f)azepine-3-carbonitrile, 5-(3-(dimethylamino)propyl)-10,11-dihydro-|3-cyanoimipramine|Ro 11-2465|5-(3 (dimethylamino)propyl)-10,11-dihydro-5H-dibenz(b,f)azepine-3-carbonitrile|cyanoimipramine|3-cyano-imipramine",59
"22960","RA V","RA-V|deoxybouvardin",14
"22961","taxinine",NA,8
"22962","Superficial Back Muscles","Muscles, Trapezius|Rhomboid Majors|Dorsus, Latissimus|Rhomboid Major|Latissimus Dorsi|Rhomboid Minors|Muscles, Superficial Back|Trapezius Muscles|Levator Scapulae|Muscle, Superficial Back|Latissimus Dorsus|Muscle, Trapezius|Dorsi, Latissimus|Scapulae, Levator|Rhomboid Minor|Back Muscles, Superficial|Superficial Back Muscle|Trapezius|Trapezius Muscle|Back Muscle, Superficial",NA
"22963","Neoplasms, Gonadal Tissue","Tissue Neoplasm, Gonadal|Tissue Neoplasms, Gonadal|Neoplasm, Gonadal Tissue|Gonadal Tissue Neoplasms|Gonadal Tissue Neoplasm",NA
"22964","Fiber Optic Technology","Optic Technologies, Fiber|Technologies, Fiber Optic|Technology, Fiber Optic|Fiber Optic Technologies|Optic Technology, Fiber",NA
"22965","Thrombogen",NA,14
"22966","Sodium Azide","Azide, Sodium|NaN3",NA
"22967","Corpus Luteum","Corpora Lutea|Lutea, Corpora",NA
"22968","naluzotan","PRX-00023|N-(3-(4-(4-cyclohexylmethanesulfonylaminobutyl)piperazin-1-yl)phenyl)acetamide|PRX00023|PRX 00023",6
"22969","Pupa","Pupae",NA
"22970","Post-Dural Puncture Headache","Headache, Post-Dural Puncture|Post-Dural Puncture Headaches|Headaches, Post-Dural Puncture|Headache, Postdural Puncture|Headaches, Postdural Puncture|Postdural Puncture Headache|Post-Lumbar Puncture Headache|Post Dural Puncture Headache|Postdural Puncture Headaches",NA
"22971","Genes, erbA","Genes, erbA-alpha|beta Gene, TR|Genes, TR alpha|c erbA Proto Oncogenes|v-erbA Gene|TR beta Genes|Genes, erbA alpha|Genes, THRA|erbA beta Gene|erbA Gene|TR beta Gene|erbA Genes|beta Gene, erbA|Genes, erbA-beta|erbA alpha Genes|c-erbA Gene|alpha Genes, erbA|TR-beta Gene|erbA-beta Genes|THRB Gene|beta Genes, erbA|erbA-alpha Gene|v erbA Oncogenes|alpha Gene, erbA|Gene, THRA|c-erbA Proto-Oncogenes|TR-beta Genes|v erbA Genes|TR-alpha Genes|THRB Genes|Genes, erbA beta|alpha Genes, TR|alpha Gene, TR|v-erbA Oncogenes|TR alpha Genes|v-erbA Genes|TR alpha Gene|Gene, THRB|erbA-beta Gene|Genes, TR-alpha|erbA alpha Gene|c erbA Genes|v-erbA Oncogene|erbA beta Genes|Genes, TR-beta|beta Genes, TR|TR-alpha Gene|THRA Genes|Genes, TR beta|c-erbA Proto-Oncogene|erbA-alpha Genes|c-erbA Genes|THRA Gene|Genes, THRB",NA
"22972","halistanol trisulfate","halistanol sulfate",9
"22973","ubiquitin-calmodulin ligase","ubiquityl-calmodulin synthetase",11
"22974","Pseudoxanthoma Elasticum","Pseudoxanthoma Elasticum, Autosomal Dominant|Gronblad Strandberg Syndrome|Incomplete Pseudoxanthoma Elasticums|Groenblad-Strandberg Syndrome|Gronblad-Strandberg Syndrome|Syndrome, Gronblad-Strandberg|Incomplete Pseudoxanthoma Elasticum|Elasticum, Incomplete Pseudoxanthoma|Pseudoxanthoma Elasticum, Forme Fruste|Pseudoxanthoma Elasticum, Incomplete|Elasticums, Incomplete Pseudoxanthoma|Pseudoxanthoma Elasticums, Incomplete",NA
"22975","tyrosyl radical YZ","tyrosyl radical Y(Z)",51
"22976","Hemodynamics","Hemodynamic",NA
"22977","Tartrates",NA,NA
"22978","sinulariolide","11-epi-sinulariolide",11
"22979","streptogrisin B","SGPB|Streptomyces griseus protease B",20
"22980","fortimicins","fortimicin C|Fortimicin",19
"22981","titanocene dibromide","(C2H5)2TiBr2",4
"22982","Lymphoma, Mantle-Cell","Centrocytic Small-Cell Lymphomas|Small-Cell Lymphomas, Centrocytic|Mantle Cell Lymphoma|Mantle-Zone Lymphoma|Lymphocytic Lymphoma, Diffuse, Poorly-Differentiated|Mantle Zone Lymphoma|Mantle-Cell Lymphomas|Diffuse Lymphocytic Lymphoma, Poorly Differentiated|Lymphoma, Lymphocytic, Diffuse, Poorly-Differentiated|Lymphoma, Lymphocytic, Intermediate|Lymphoma, Small-Cell, Centrocytic|Lymphoma, Mantle-Zone|Lymphoma, Centrocytic Small-Cell|Mantle-Zone Lymphomas|Diffuse Lymphocytic Lymphoma, Poorly-Differentiated|Lymphoma, Mantle Cell|Lymphomas, Mantle-Cell|Centrocytic Small-Cell Lymphoma|Lymphoma, Centrocytic Small Cell|Lymphocytic Lymphoma, Diffuse, Poorly Differentiated|Lymphomas, Mantle-Zone|Lymphomas, Centrocytic Small-Cell|Small-Cell Lymphoma, Centrocytic|Mantle-Cell Lymphoma|Lymphoma, Lymphocytic, Diffuse, Intermediate Differentiated",NA
"22983","dimethicone","dimeticone|dimethyl polysiloxane",47
"22984","polyoxydonium","polyoxydony",28
"22985","acid fuchsin","acid-fuchsin|ammonium acid fuchsin",71
"22986","Animation",NA,NA
"22987","Pipidae",NA,NA
"22988","Campylobacter upsaliensis",NA,NA
"22989","ulifloxacin","6-fluoro-1-methyl-7-(1-piperazinyl)-4-oxo-4H-(1,3)thiazeto(3,2-a)quinoline-3-carboxylic acid|NM394|NM 394|NM-394|1H,4H-(1,3)thiazeto(3,2-a)quinoline-3-carboxylic acid, 6-fluoro-1-methyl-4-oxo-7-(1-piperazinyl)-",35
"22990","Halorhodospira halophila","Ectothiorhodospira halophila",NA
"22991","luciferyl-coenzyme A","luciferyl-CoA",4
"22992","squaraine",NA,112
"22993","BEAM regimen","mini-BEAM protocol|mini-BEAM salvage protocol",126
"22994","Imaginal Discs","Imaginal Disk|Disk, Imaginal|Disc, Imaginal|Discs, Imaginal|Imaginal Disc|Imaginal Disks|Disks, Imaginal",NA
"22995","tellimagrandin I","tellimagradin I",16
"22996","agelastatin A",NA,21
"22997","Rhabdoviridae Infections","Infections, Rhabdoviridae|Rhabdoviridae Infection|Infection, Rhabdoviridae",NA
"22998","seglitide","Cyclic(N-methyl-L-alanyl-L-tyrosyl-D-tryptophyl-L-lysyl-L-valyl-L-phenylalanyl)|cyclo(MATTLVP)|L-363586|cyclo(N-methylalanyl-tyrosyl-tryptophyl-lysyl-valyl-phenylalanyl)|L 363586|seglitide monoacetate|seglitide acetate|MK-678|MK 678|cyclo(N-Me-Ala-Tyr-Trp-Lys-Val-Phe)",58
"22999","lignoceric acid","tetracosanoic acid|lignoceric acid, sodium salt|lignoceric acid, silver (1+) salt|lignoceric acid, potassium salt",148
"23000","aprepitant","MK 0517|MK-0517|(1-(3,5-bis(trifluoromethyl)phenyl)ethoxy)-3-(fluoro)phenyl-4-(3-oxo-1,2,4-triazol-5-yl)methylmorpholine|MK-0869|MK0517|Emend|MK-869|L-754030|L 754,030|L 754030|MK 0869|(2R)-(1R)-3,5-bis(trifluoromethylphenyl)ethoxy)-(3S)-(4-fluoro)phenyl-4-(3-(5-oxo-1H,4H-1,2,4-triazole)methyl-morpholine|MK 869|L-754,030",420
"23001","Glycolates","Hydroxyacetic Acids|Hydroxyacetate Ethers|Ethers, Hydroxyacetate|2-Hydroxyacetates|Glycolate Ethers|Hydroxyacetates|Acids, Hydroxyacetic|Ethers, Glycolate|2 Hydroxyacetates",NA
"23002","Fagopyrum","Fagopyrum tataricum|Fagopyrum sagittatum|Buckwheats|Buckwheat|Fagopyrum esculentum",NA
"23003","hementin",NA,8
"23004","Laboratory Personnel","Assistants, Laboratory|Laboratory Technicians|Laboratory Assistants|Scientist, Laboratory|Technicians, Laboratory|Personnel, Laboratory|Technician, Laboratory|Scientists, Laboratory|Laboratory Assistant|Laboratory Scientists|Assistant, Laboratory|Laboratory Technician|Laboratory Scientist",NA
"23005","Peptones","Peptone",NA
"23006","Mice, Inbred BALB C","BALB C Mouse|Inbred BALB C Mice|BALB C Mice|Mice, BALB C|Inbred BALB C Mouse|BALB C Mice, Inbred|BALB C Mouse, Inbred|Mouse, BALB C|Mouse, Inbred BALB C",NA
"23007","insect attractants",NA,465
"23008","Gelusil",NA,13
"23009","Retinal Drusen","Drusen, Retinal",NA
"23010","conatumumab","AMG 655|AMG-655|AMG655",22
"23011","biphenylylacetic acid","Whitehall brand of 4-biphenylylacetic acid|Goldshield brand of 4-biphenylylacetic acid|biphenylacetic acid|Traxam|3-biphenylylacetic acid|felbinac|4-biphenylylacetic acid|biphenylylacetic acid, 14C-labeled",88
"23012","Quetiapine Fumarate","ICI204636|2-(2-(4-dibenzo(b,f)(1,4)thiazepine-11-yl-1-piperazinyl)ethoxy)ethanol|ICI 204636|Ethanol, 2-(2-(4-dibenzo(b,f)(1,4)thiazepin-11-yl-1-piperazinyl)ethoxy)-, (E)-2-butenedioate (2:1) (salt)|Seroquel|ICI-204636|ICI 204,636|Fumarate, Quetiapine|204636, ICI|Quetiapine|204,636, ICI",NA
"23013","punicalin",NA,11
"23014","Trombiculidae","Bugs, Red|Chiggers|Eutrombiculas|Trombicula|Mites, Harvest|Red Bug|Trombiculid Mite|Harvest Mites|Mite, Trombiculid|Leptotrombidiums|Harvest Mite|Mites, Trombiculid|Trombiculas|Chigger|Neotrombicula|Bug, Red|Neotrombiculas|Red Bugs|Trombiculid Mites|Eutrombicula|Leptotrombidium|Mite, Harvest",NA
"23015","Immobilization","Hypokinesia, Experimental|Experimental Hypokinesia|Hypokinesias, Experimental|Experimental Hypokinesias",NA
"23016","reactmer paste",NA,18
"23017","TER ATPase",NA,4
"23018","lithium tantalate oxide","LiTaO3",26
"23019","royal jelly","Royal jelly",394
"23020","N,N'-bisacrylylcystamine","2-Propenamide, N,N'-(dithiodi-2,1-ethanediyl)bis-|N,N-BAC",4
"23021","Roflumilast","daliresp|3-cyclopropylmethoxy-4-difluoromethoxy-N-(3,5-di-chloropyrid-4-yl)benzamide",271
"23022","huperzine B","fordimine",25
"23023","methylphosphonic acid","dihydrogen methylphosphonate|aluminum methylphosphonate|methylphosphonate",202
"23024","Furocoumarins","Furanocoumarins|Angelicins|Psoralens",NA
"23025","Pyrazolotriazolopyrimidine",NA,10
"23026","Choledochal Cyst","Choledochal Cyst, Type I|Choledochal Cyst, Type III|Intrahepatic Choledochal Cysts|Cysts, Choledochal|Choledochal Cysts, Multiple|Choledochal Diverticulum|Choledochal Cyst, Type V|Choledochal Cyst, Intrahepatic|Cyst, Congenital Choledochal|Cyst, Choledochal|Common Bile Duct Cyst|Multiple Choledochal Cyst|Choledochal Cyst, Type IV|Cysts, Multiple Choledochal|Bile Duct Cysts|Cyst, Bile Duct|Choledochal Cysts, Diverticulum|Cysts, Common Bile Duct|Cysts, Bile Duct|Choledochocele|Cyst, Common Bile Duct|Diverticulum Choledochal Cysts|Choledochal Diverticulums|Intrahepatic Choledochal Cyst|Cysts, Intrahepatic Choledochal|Diverticulum, Choledochal|Choledochal Cysts, Intrahepatic|Diverticulums, Choledochal|Duct Cyst, Bile|Choledochal Cyst, Congenital|Choledochal Cysts, Congenital|Bile Duct Cyst|Choledochal Cyst, Type II|Choledochal Cyst, Multiple|Duct Cysts, Bile|Multiple Choledochal Cysts|Congenital Choledochal Cyst|Cyst, Intrahepatic Choledochal|Diverticulum Choledochal Cyst|Cysts, Congenital Choledochal|Choledochal Cysts|Choledochal Cyst, Diverticulum|Cyst, Multiple Choledochal|Choledochoceles|Congenital Choledochal Cysts",NA
"23027","vasostatin","calreticulin N-terminal peptide 120-180",58
"23028","cyclo(Trp-Asp-Pro-Val-Leu)","cyclo(D-Trp-D-Asp-Pro-D-Val-Leu)|BQ-123|BQ 123|Cyclo(D-alpha-aspartyl-L-prolyl-D-valyl-L-leucyl-D-tryptophyl)|BQ123",1325
"23029","RNA Cap-Binding Proteins","mRNA Cap Binding Proteins|Cap-Binding Proteins, RNA|Cap Binding Protein|Binding Proteins, Cap|Cap Binding Proteins|RNA Cap Binding Proteins|Binding Protein, Cap|Cap-Binding Protein Complex|Cap Binding Protein Complex",NA
"23030","Adjuvants, Anesthesia","Adjuvants, Anesthetic|Anesthetic Adjuvants|Anesthesia Adjuvants",NA
"23031","Task Performance and Analysis","Incident Technique, Critical|Critical Incident Technique|Incident Techniques, Critical|Technic, Critical Incident|Critical Incident Technics|Task Performance|Performances, Task|Incident Technic, Critical|Performances, Analysis Task|Task Performances|Techniques, Critical Incident|Technics, Critical Incident|Performance, Task|Technique, Critical Incident|Task Performance, Analysis|Performance, Analysis Task|Critical Incident Technic|Critical Incident Techniques|Incident Technics, Critical|Task Performances, Analysis",NA
"23032","allergen Can f I","Can f I allergen",84
"23033","longicin",NA,5
"23034","methylhydroxybenzimidate","Benzenecarboximidic acid, 4-hydroxy-, methyl ester|methylhydroxybenzimidate hydrochloride|Wood reagent",4
"23035","Negotiating","Negotiations|Arbitration|Mediation|Negotiation|Resolution, Conflict|Arbitrating|Mediating|Conflict Resolution|Conflict Resolutions",NA
"23036","cefmatilen","prop-INN|7-(2-(2-aminothiazol-4--yl)-2-hydroxyiminoacetamido)-8-oxo-3-(1H-1,2,3-triazol-4-yl)thiomethylthio-5-thia-1-azabicyclo(4.2.0)oct-2-ene-2-carboxylic acid",15
"23037","moesin, Drosophila","Dmoesin",29
"23038","toxin V (Anemonia sulcata)","ATX V|sea anemone toxin V|SE toxin V|Neurotoxin V",4
"23039","Microvilli","Brush Border|Striated Border|Brush Borders|Borders, Striated|Border, Brush|Borders, Brush|Border, Striated|Striated Borders|Microvillus",NA
